"source","target"
1,2
1,3
2,3
4,5
4,6
5,6
7,8
4,9
4,5
9,5
11,12
11,13
12,13
14,15
14,16
15,16
15,17
15,18
17,18
15,19
15,5
19,5
15,2
15,20
2,20
8,16
8,1
16,1
1,19
1,5
19,5
8,21
18,5
18,22
5,22
11,15
11,15
11,9
15,9
23,24
25,10
25,26
10,26
15,16
15,23
16,23
27,28
27,29
28,29
30,27
30,19
27,19
30,10
31,15
31,6
15,6
32,15
32,30
15,30
33,34
33,12
34,12
15,2
11,35
11,2
35,2
1,36
1,33
36,33
15,37
15,38
37,38
15,39
15,5
39,5
15,5
31,40
31,12
40,12
15,18
15,5
18,5
15,30
36,19
36,41
19,41
15,2
2,19
2,9
19,9
23,42
23,43
42,43
44,26
44,45
26,45
15,2
15,6
2,6
15,36
15,5
36,5
46,11
46,31
11,31
15,16
30,2
30,47
2,47
31,15
31,6
15,6
14,8
14,24
8,24
14,48
14,5
48,5
25,8
25,10
8,10
31,15
31,6
15,6
31,15
31,6
15,6
5,22
5,29
22,29
36,18
36,5
18,5
15,30
15,5
30,5
30,10
30,5
10,5
15,5
15,2
1,36
1,2
36,2
15,30
15,42
30,42
8,10
6,8
6,15
8,15
10,23
10,24
23,24
38,14
38,15
14,15
30,5
30,22
5,22
15,8
15,28
8,28
42,6
9,23
30,41
30,5
41,5
1,5
49,36
49,9
36,9
15,50
15,39
50,39
1,19
1,22
19,22
31,30
31,6
30,6
1,51
31,2
31,18
2,18
15,36
15,12
36,12
2,19
9,5
2,27
2,40
27,40
2,40
2,5
40,5
11,40
11,12
40,12
15,5
40,52
40,5
40,13
52,5
52,13
5,13
15,2
15,12
2,12
15,41
31,15
31,26
15,26
25,15
25,36
15,36
15,36
15,6
36,6
15,30
15,5
30,5
15,2
15,12
2,12
31,2
15,3
15,5
3,5
23,5
23,24
5,24
11,15
11,2
15,2
53,38
23,24
18,12
18,54
12,54
1,55
1,38
55,38
15,36
15,16
36,16
15,23
30,27
30,5
27,5
15,2
32,15
32,56
32,40
32,13
15,56
15,40
15,13
56,40
56,13
40,13
11,31
11,40
11,52
11,5
40,52
40,5
52,5
2,9
2,28
2,13
9,28
9,13
28,13
15,50
15,40
50,40
15,57
15,5
57,5
15,40
15,13
40,13
15,19
15,30
15,30
15,40
30,40
5,12
5,50
12,50
15,52
15,12
52,12
35,30
35,18
30,18
25,15
25,6
15,6
15,2
1,36
1,58
36,58
1,15
1,9
15,9
15,50
15,39
50,39
15,13
17,11
17,5
11,5
11,22
15,36
32,56
32,30
56,30
11,19
11,40
19,40
8,10
17,19
17,5
19,5
1,19
1,5
19,5
11,15
11,2
15,2
35,1
35,3
1,3
15,2
15,19
2,19
15,2
15,39
2,39
19,11
35,2
35,19
2,19
1,15
1,5
15,5
15,2
15,13
2,13
10,18
15,56
15,12
56,12
14,1
14,16
1,16
8,4
8,9
4,9
8,4
8,9
4,9
14,40
14,37
40,37
15,2
15,9
2,9
15,16
15,17
16,17
10,8
10,30
8,30
40,5
40,13
5,13
18,8
18,23
8,23
40,46
40,59
46,59
32,30
15,27
35,18
35,19
35,28
35,12
18,19
18,28
18,12
19,28
19,12
28,12
1,11
1,5
11,5
15,9
15,5
9,5
15,39
15,12
39,12
19,41
19,5
41,5
31,18
32,56
32,30
56,30
15,9
15,12
15,45
12,45
32,56
32,5
56,5
15,2
30,10
31,30
11,5
11,13
5,13
27,40
15,3
15,37
3,37
15,2
31,15
31,2
15,2
19,29
