"id","label"
1,"Sperimentale"
2,"Pop"
3,"Demenziale"
4,"Industrial"
5,"Alternativo"
6,"Hard Rock"
7,"Screamo"
8,"Metal"
9,"Elettronico"
10,"Hardcore"
11,"Cantautore"
12,"Blues"
13,"Acustico"
14,"Strumentale"
15,"Rock"
16,"Progressive"
17,"Pop rock"
18,"Noise"
19,"Indie"
20,"Easy-listening"
21,"Death metal"
22,"Post-Rock"
23,"Crossover"
24,"Nu-Metal"
25,"Stoner"
26,"Punk rock"
27,"New-Wave"
28,"Dark"
29,"Electro"
30,"Punk"
31,"Rock'n'roll"
32,"Ska"
33,"Afro"
34,"Afro-beat"
35,"Lo-Fi"
36,"Psichedelico"
37,"Patchanka"
38,"Surf"
39,"Funk"
40,"Folk"
41,"Grunge"
42,"Covers"
43,"Latin"
44,"Punk-funk"
45,"Garage"
46,"Black metal"
47,"Emo"
48,"Drum & Bass"
49,"Techno"
50,"Jazz"
51,"Shoegaze"
52,"Etnico"
53,"Rockabilly"
54,"Slow-core"
55,"Soul"
56,"Reggae"
57,"Ritmi"
58,"IDM"
59,"Ambient"
60,"Dance"
61,"Lounge"
62,"Alt-country"
63,"Gotico"
64,"Britpop"
65,"Ghettotech"
66,"C86"
67,"A Cappella"
68,"Country"
69,"Pop punk"
70,"Bluegrass"
71,"Rap"
72,"Hip-Hop"
73,"House"
74,"Turntablism"
75,"Jungle"
76,"R&B"
77,"Glitch"
78,"Electroclash"
79,"Trip-Hop"
80,"Reggaeton"
81,"Nu jazz"
