"num","name","url","info","likes","genre","img","administrators","bio","albums"
4500,"Emme [Emilia Romagna]","http://www.rockit.it/emmeemiliaromagna","Band, Emilia Romagna",0,"Rock, Elettronico","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/4442/emme-emilia-romagna-perfect-lines"",""/user/emme""]","\n<div class=""content-rece""></div>\n","[{""name"":""Perfect Lines"",""date"":"" 2004 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/4442.jpg"",""link"":""http://www.rockit.it/emmeemiliaromagna/album/perfect-lines/4442""}]"
4501,"Emme [Toscana]","http://www.rockit.it/emmetoscana","Band, Toscana","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/176/emme-toscana-emme""]","\n<div class=""content-rece""></div>\n","[{""name"":""Emme"",""date"":"" 1998 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/176.jpg"",""link"":""http://www.rockit.it/emmetoscana/album/emme/176""}]"
4502,"Emme [Veneto]","http://www.rockit.it/emmeveneto","Band, Veneto","0","Rock, Acustico ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
4503,"Emme4 (M4)","http://www.rockit.it/emme4m4","Band, fiesso umbertiano (RO), Veneto","0","Stoner, Rock, Psichedelico ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/908/emme4-m4-something-strange"",""/user/emme4m4""]","\n<div class=""content-rece""><p>Dietro la sigla emme4 si cela una band. Una rock band. Come tante. Come nessun altra. Storie diverse, esperienze agli antipodi, intersecatesi grazie ad un&apos;emozione comune: il rock. Il rock quello vero, quello dei poster che abbiamo in camera, quello che abbiamo nella testa e nel cuore. L&apos;onest&#xE0; degli intenti, il sudore in sala prove, il fumo acre del sere in campagna sono il motore di un progetto, un sogno, una canzone. Dal 1995 l&apos;improvvisazione pura, lontana dalle mediazioni informatiche, si &#xE8; evoluta ed ha preso corpo. Il sound &#xE8; rimasto acre, oscuro, spontaneo, psichedelico, metallaro e robusto. Definire la musica &#xE8; atto osceno in s&#xE9;&#x2026; Lo sfondo: la campagna padana, le sue nebbie naturali, i viaggi artificiali, i suoi silenzi ed il bisogno di (soprav)vivere. I protagonisti: Marcello, un batterista esuberante e fantasioso; Matteo, un bassista schivo e geniale; Cristian, un chitarrista perplesso e vitale; Mirko, un cantante emozionato ed emozionante, Marco, un ritorno insperato. Tanti amici. Tante amiche. Pochi soldi. La musica: alcuni la chiamano stoner rock, but it&apos;s only rock&apos;n&apos;roll! Che sia pesante o leggera, distorta o acustica si vuol far sentire e lo fa! Cds autoprodotti (&quot;Something strange&quot; 1999, &quot;Brown Songs&quot; EP 2000, &quot;emme4&quot; 2005, &quot;Self-made sun&quot; 2008) e concerti generosi (piccoli e grandi in tutt&apos;Italia), e tanta, onesta emozione live. Quasi come una volta. Quasi come domani. Le parole: quelle di tutti i giorni, quelle che diciamo sempre e quelle che vorremmo dire sempre. Un urlo nel deserto rosso, un sussurro nel caos giornaliero &quot;I give u one piece of advice: there&apos;s no advice&quot;&#x2026;</p></div>\n","[{""name"":""Self-made Sun"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/11519.jpg"",""link"":""http://www.rockit.it/emme4m4/album/self-made-sun/11519""},{""name"":""emme4"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/11518.jpg"",""link"":""http://www.rockit.it/emme4m4/album/emme4/11518""},{""name"":""Something Strange"",""date"":"" 1999 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/908.jpg"",""link"":""http://www.rockit.it/emme4m4/album/something-strange/908""}]"
4504,"Emmenem's","http://www.rockit.it/emmenems","Band, Friuli Venezia Giulia","0","Grunge ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/em385689m""]","\n<div class=""content-rece""></div>\n","[]"
4505,"Emmevubí (ex MWB)","http://www.rockit.it/emmevubexmwb","Band, Emilia Romagna","1","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/news/emmevubi-nautilus"",""/recensione/349/emmevubi-ex-mwb-zobia-blue""]","\n<div class=""content-rece""></div>\n","[{""name"":""Zobia Blue"",""date"":"" 1998 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/emmevubexmwb/album/zobia-blue/349""}]"
4506,"Emo [Piemonte]","http://www.rockit.it/emopiemonte","Band, Piemonte","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/news/skiantos-emo-live-fillmore"",""/user/emoweb""]","\n<div class=""content-rece""><p>Gli Emo nascono dalle ceneri di una formazione precedente,con l&apos;intento di portare avanti il discorso musicale intrapreso negli anni scorsi.In questi anni abbiamo fatto molta esperienza dal vivo, girando per concorsi e rassegne varie sparse per l&apos;Italia.Durante queste manifestazioni abbiamo trovato persone determinate a portare avanti dei progetti con i gruppi che partecipavano, scelta che per noi ha significato la possibilit&#xE0; di suonare di spalla a Max Gazz&#xE8;,Skiantos,Africa Unite e Otto Ohm.Per noi il nostro suono &#xE8; &quot;rock e basta&quot;,senza tanti,pomposi ed inutili giri di parole.</p></div>\n","[]"
4507,"Emo [Puglia]","http://www.rockit.it/emopuglia","Band, Puglia","0","Pop, Hardcore, Alternativo ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
4508,"Emoglobe","http://www.rockit.it/emoglobe","Band, Lombardia","4","New-Wave, Indie, Alternativo ","url(/thumb700x250/foto/1483.jpg)","[""/recensione/8625/emoglobe-emoglobe"",""/recensione/177/emoglobe-demo-99"",""/user/emoglobe"",""/user/trevorzent""]","\n<div class=""content-rece""><p>Gli Emoglobe nascono a Milano nel 1998, formati da Gianluca Morelli e Francesco Franciosi, rispettivamente basso/voce e batteria, dopo l&apos;esperienza comune negli Exit. Nel 2000 Alberto de Angeli, chitarrista e fonico del gruppo, si unisce stabilmente al duo, ne scaturisce un EP autoprodotto che raccoglie numerosi consensi dalla stampa di settore. Dopo anni di gavetta che li porta a suonare un po&apos; ovunque e ad aprire per Linea77 e After Hours fra gli altri, nel marzo 2008 esce l&apos;album di debutoo prodotto da Marco Trentacoste che raccoglie il meglio dei primi 5 anni di attivit&#xE0; compositiva. Gli E&#x2026;</p></div>\n","[{""name"":""Emoglobe"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/8625.jpg"",""link"":""http://www.rockit.it/emoglobe/album/emoglobe/8625""},{""name"":""EP00"",""date"":"" 2000 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/8624.jpg"",""link"":""http://www.rockit.it/emoglobe/album/ep00/8624""},{""name"":""demo 99"",""date"":"" 1999 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/emoglobe/album/demo-99/177""}]"
4509,"Emografia","http://www.rockit.it/emografia","Band, Campania","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
4510,"Emoliquida","http://www.rockit.it/emoliquida","Band, Veneto","0","Metal ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/4510/emoliquida-di-una-collina-e-lalbero""]","\n<div class=""content-rece""></div>\n","[{""name"":""Di una collina e l'albero..."",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/emoliquida/album/di-una-collina-e-lalbero/4510""}]"
4511,"Emotive","http://www.rockit.it/emotive","Band, Veneto","0","Metal, Industrial, Gotico ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
4512,"Empatia","http://www.rockit.it/empatia","Band, Friuli Venezia Giulia","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/179/empatia-il-cerchio-infinito"",""/recensione/178/empatia-sognilinfinito-cerchio""]","\n<div class=""content-rece""></div>\n","[{""name"":""Sogni/L'infinito cerchio"",""date"":"" 1998 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/empatia/album/sognilinfinito-cerchio/178""},{""name"":""Il cerchio infinito"",""date"":"" 1998 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/179.jpg"",""link"":""http://www.rockit.it/empatia/album/il-cerchio-infinito/179""}]"
4513,"Emperor of the beef","http://www.rockit.it/emperorofthebeef","Band, Genova, Liguria","0","Lo-Fi, Indie, Emo ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/emperorofthebeef""]","\n<div class=""content-rece""></div>\n","[]"
4514,"Emphasis","http://www.rockit.it/emphasis","Band, Lombardia","0","Rock, Dark ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/killkenny""]","\n<div class=""content-rece""></div>\n","[]"
4515,"Empiria","http://www.rockit.it/empiria","Band, Veneto","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
4516,"Empirica","http://www.rockit.it/empirica","Band, Puglia","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/em345456p""]","\n<div class=""content-rece""><p>Il progetto Empirica nasce nel marzo 2002 da un incontro fiorentino tra Davide Pepe e Vito Taccogna. I due, tornati nella loro citt&#xE0; d&apos;origine, Bari, cominciano a creare quel feeling artistico che e&apos; alla base di ogni band che si rispetti. La loro impostazione di base e&apos; fondamentalmente rock, tanto da dare un&apos;impronta tale al neo-progetto. Per la riuscita del tutto e&apos; stato fondamentale l&apos;incontro con Gianluca Calisti e Vito Decarolis, successivamente entrati a far parte del gruppo. Il nostro modo di fare rock e&apos; contaminato dalle influenze artistiche di ciascun component&#x2026;</p></div>\n","[{""name"":""Fermo Immagine"",""date"":"" 2007 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/7659.jpg"",""link"":""http://www.rockit.it/empirica/album/fermo-immagine/7659""}]"
4517,"Empty Frames","http://www.rockit.it/emptyframes","Band, Lombardia","0","Rock, Pop, New-Wave ","url(/thumb700x250/foto/1484.jpg)","[""/recensione/3175/empty-frames-draw-a-line"",""/news/turbinio-novita-dalla-shinseiki"",""/news/blank-dirt-live-magazzino-47-bs"",""/user/emptyframe""]","\n<div class=""content-rece""></div>\n","[{""name"":""Draw a line"",""date"":"" 2004 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/3175.jpg"",""link"":""http://www.rockit.it/emptyframes/album/draw-a-line/3175""},{""name"":""Less than we could more than we should"",""date"":"" 2001 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/1862.jpg"",""link"":""http://www.rockit.it/emptyframes/album/less-than-we-could-more-than-we-should/1862""}]"
4518,"Empty Sphere","http://www.rockit.it/emptysphere","Band, Veneto","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
