"source","target"
1,2
1,3
2,3
2,4
2,3
4,3
5,6
2,7
2,8
7,8
9,10
2,8
2,11
8,11
12,13
12,14
13,14
15,16
15,4
16,4
12,17
12,18
17,18
2,17
2,19
17,19
2,14
2,19
14,19
20,21
20,22
21,22
23,4
23,14
4,14
4,24
4,25
24,25
2,7
2,4
7,4
26,1
26,27
1,27
12,20
12,21
20,21
2,28
2,14
28,14
29,30
28,14
28,31
14,31
12,20
12,23
20,23
6,16
6,32
16,32
12,33
2,20
2,7
20,7
14,3
14,2
3,2
1,27
13,33
13,34
33,34
2,20
2,17
20,17
2,4
2,14
4,14
28,4
28,14
4,14
2,23
2,35
23,35
2,28
11,2
11,7
2,7
2,20
2,14
20,14
36,37
36,20
37,20
12,14
12,38
14,38
2,28
2,14
28,14
9,39
9,4
39,4
9,40
9,4
40,4
20,41
20,42
41,42
2,27
2,35
27,35
27,16
2,5
2,40
5,40
2,28
2,14
28,14
21,8
21,22
8,22
2,7
2,5
2,7
5,7
2,43
2,25
43,25
36,27
44,10
44,45
10,45
1,46
1,16
46,16
2,21
2,14
21,14
2,27
2,38
27,38
2,47
2,46
47,46
2,20
2,14
20,14
40,16
40,32
16,32
2,27
2,7
27,7
27,28
20,28
20,19
28,19
2,7
2,14
7,14
16,38
16,41
38,41
2,43
28,14
28,10
14,10
28,4
2,28
2,14
28,14
11,7
11,28
7,28
36,2
36,27
2,27
2,27
2,4
5,28
5,40
28,40
3,11
3,25
11,25
11,21
11,3
21,3
20,14
20,10
14,10
2,14
2,14
2,7
2,4
7,4
2,7
2,14
7,14
2,21
2,48
21,48
2,23
2,4
23,4
49,12
49,2
12,2
2,7
50,2
50,4
2,4
2,7
2,20
2,17
20,17
2,20
2,8
20,8
49,2
49,35
2,35
49,14
39,12
39,14
39,41
12,14
12,41
14,41
1,2
28,4
6,14
2,16
2,14
16,14
2,7
2,4
7,4
27,16
2,7
17,25
17,14
25,14
11,2
11,32
2,32
49,2
49,35
2,35
5,51
5,32
51,32
8,28
8,11
28,11
46,38
46,3
38,3
12,2
2,28
2,14
28,14
13,32
13,38
32,38
2,28
2,35
28,35
2,21
2,14
21,14
11,28
11,14
28,14
39,14
51,33
51,32
51,38
33,32
33,38
32,38
2,28
2,14
28,14
9,23
9,22
23,22
52,2
52,7
2,7
2,20
2,14
20,14
2,27
2,28
27,28
35,14
2,35
2,32
35,32
5,32
5,38
32,38
27,35
11,7
11,14
7,14
17,31
17,28
31,28
2,35
2,25
35,25
49,20
49,3
20,3
20,23
20,29
23,29
2,21
2,7
21,7
27,14
27,38
14,38
27,4
2,46
2,7
2,43
7,43
32,14
32,41
14,41
2,35
2,14
35,14
2,7
2,14
7,14
2,14
11,2
11,8
2,8
2,28
2,14
28,14
11,9
11,14
9,14
1,49
53,1
53,2
1,2
39,21
39,41
21,41
28,41
2,7
2,3
7,3
27,16
27,38
16,38
2,28
2,14
28,14
28,54
28,46
54,46
2,7
2,4
7,4
2,55
2,7
27,16
2,7
2,14
2,16
2,32
16,32
2,27
2,16
27,16
2,20
2,21
20,21
2,6
2,51
6,51
2,8
2,3
8,3
56,46
2,6
2,14
6,14
2,37
2,25
37,25
12,41
12,10
41,10
2,8
2,14
8,14
16,6
16,38
6,38
2,7
2,43
7,43
5,28
5,40
28,40
5,4
5,14
4,14
52,43
52,25
43,25
12,34
12,14
7,28
7,14
28,14
20,18
20,25
18,25
9,12
9,4
12,4
28,19
28,17
28,19
17,19
