"source"	"target"	"weight"
2	3	6
2	4	54
3	4	19
5	1	49
5	6	11
1	6	11
7	8	5
5	9	291
5	4	279
9	4	61
10	5	37
10	9	7
11	4	24
11	12	10
4	12	10
5	11	33
1	13	3
5	12	4
11	14	27
14	4	110
15	2	1
15	16	3
2	16	3
9	17	2
9	18	4
17	18	2
5	19	74
1	20	1
1	3	25
20	3	3
21	5	40
19	22	8
19	14	13
24	14	1
24	19	1
14	19	1
21	25	9
21	16	28
25	16	13
4	26	12
21	1	6
10	19	17
10	27	1
10	26	15
19	27	6
19	26	6
27	26	3
11	27	25
5	14	130
14	12	11
5	28	55
9	28	13
29	5	102
29	9	48
5	16	64
16	4	59
31	9	8
5	31	49
16	12	7
32	5	14
32	19	31
7	33	10
7	31	3
33	31	16
31	1	30
1	30	24
19	1	7
19	30	42
30	3	21
33	1	1
33	25	1
1	25	12
10	14	4
14	26	4
5	23	29
23	4	36
5	26	60
30	6	7
34	2	3
34	16	3
33	9	21
30	35	5
5	2	73
5	34	38
2	34	2
5	13	62
5	36	16
13	36	1
33	26	2
1	4	22
37	14	2
37	16	2
14	16	30
13	38	4
13	39	8
38	39	2
5	8	16
14	8	25
9	14	61
9	16	39
14	40	19
14	34	17
40	34	3
21	31	14
21	41	1
31	41	1
21	14	9
9	11	21
9	27	3
19	9	22
34	14	5
34	29	5
14	29	8
33	4	32
33	34	2
4	34	20
29	13	25
7	2	13
7	26	9
2	26	13
23	2	12
4	5	7
34	5	5
5	29	18
32	1	1
32	30	7
43	9	2
43	16	6
43	4	4
44	1	3
44	4	16
7	5	28
7	4	11
21	28	7
17	10	1
17	45	1
10	45	1
19	46	4
5	47	3
9	47	2
23	1	5
23	3	6
7	23	4
33	23	14
44	46	7
44	14	6
46	14	3
44	21	11
21	4	34
19	11	11
30	40	1
3	40	4
9	48	14
4	48	15
21	33	17
1	2	9
5	40	46
16	34	6
26	34	2
48	12	4
9	37	1
14	37	1
17	14	19
17	13	6
14	13	20
9	49	1
14	49	2
29	11	3
29	14	29
15	50	1
15	25	3
50	25	1
3	6	16
25	52	6
25	13	1
52	13	1
13	27	3
13	40	13
27	40	1
10	53	2
33	40	4
4	40	20
6	1	2
7	21	5
