"id","label"
1,"Rock'n'roll"
2,"Rock"
3,"Hard Rock"
4,"Elettronico"
5,"Rap"
6,"Metal"
7,"Pop"
8,"Pop rock"
9,"Lo-Fi"
10,"Shoegaze"
11,"Cantautore"
12,"Sperimentale"
13,"Industrial"
14,"Alternativo"
15,"Glitch"
16,"Hardcore"
17,"Folk"
18,"Country"
19,"Acustico"
20,"Psichedelico"
21,"Progressive"
22,"Jazz"
23,"Noise"
24,"Covers"
25,"Blues"
26,"Surf"
27,"Punk"
28,"Indie"
29,"New-Wave"
30,"Emo"
31,"Britpop"
32,"Crossover"
33,"Dark"
34,"Black metal"
35,"Grunge"
36,"Ska"
37,"Reggae"
38,"Nu-Metal"
39,"Strumentale"
40,"Hip-Hop"
41,"Post-Rock"
42,"Ambient"
43,"Funk"
44,"Slow-core"
45,"Screamo"
46,"Punk rock"
47,"Pop punk"
48,"Etnico"
49,"Stoner"
50,"Techno"
51,"Gotico"
52,"Soul"
53,"Rockabilly"
54,"Garage"
55,"Electro"
56,"Drum & Bass"
57,"Death metal"
58,"Nu jazz"
59,"Lounge"
60,"Easy-listening"
61,"Demenziale"
62,"Afro"
63,"Patchanka"
64,"Latin"
65,"IDM"
66,"Punk-funk"
67,"C86"
68,"Trance"
69,"House"
70,"Jungle"
71,"Big Beat"
72,"A Cappella"
73,"R&B"
74,"Alt-country"
75,"Trip-Hop"
76,""
