id	name	url	info	likes	genre	img	administrators	bio	albums
1	 Acamporas	http://www.rockit.it/acamporas	Band, Liguria	2	Rock'n'roll	url(/thumb700x250/foto/4253.jpg)	"[""/news/bunna-onda-lifegate-radio"",""/user/acamporas""]"	"\n<div class=""content-rece""><p>Gli Acamporas nascono per realizzare un fake documentary dedicato ad un promettente astro nascente della musica italiana ossia Pasquale Acampora. Per rendere pi&#xF9; credibile lo &quot;scherzo&quot; serviva che Pasquale avesse una band e che le solite gesta di un gruppo (prove, registrazioni e concerti) venissero filmate ed inserite nel fake.Qui nascono gli &quot;Acamporas&quot;, che sotto la direzione di Edo, dj di Rock Fm, nonch&#xE9; chitarrista della band, autore dei pezzi, , e regista del filmato chiamato &quot;Crumb by Crumb&quot;, registrano un paio di cd singoli (Una vita in briciole)e un Ep (Crumbs, l&apos;inlgese per Briciole)&#x2026;</p></div>\n"	"[{""name"":""Crumbs"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/acamporas//thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/acamporas//acamporas/album/crumbs/5539""}]"
2	" Bad Swan"	"http://www.rockit.it/thebadswan"	"Band, Cosenza, Calabria"	"2"	"Rock'n'roll, Rock, Hard Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/news/6-7-8-agosto-demian-summer-fest"",""/user/sdollino""]"	"\n<div class=""content-rece""><p>I Bad Swan nascono nel 2006 in quel di Cosenza, il loro cammino &#xE8; caratterizzato da un costante cambiamento di line-up fino al 2008, anno in cui la band si stabilizza definitivamente e inizia a produrre nuovi pezzi inediti con sonorit&#xE0; di base Hard Rock unito a varie influenze. Nel corso dei due anni di attivit&#xE0; della band i Bad Swan hanno inciso 2 EP, partecipato con un loro brano in una Compilation prodotta dalla &quot;Sana Records&quot; di Milano e a varie rassegne musicali tra cui MarteLive e Tour Music Fest, Italia Wave e condiviso il palco con varie band e artisti tra cui i &quot;Marydolls&quot; , &quot;Pino Scotto&quot; , &quot;Paolo Benvegn&#xF9;&quot; , &quot;Lord Bishop(NY-USA)&quot;&#x2026; A met&#xE0; Aprile 2009 partiranno per un tour in UK di 7 date in previsione dell&apos;uscita del nuovo CD autoprodotto contenente 9 brani e la registrazione di un videoclip anche questo autoprodotto&#x2026;LET&apos;S ROCK..</p></div>\n"	"[{""name"":""Rock'n'Roll Party"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/15965.jpg"",""link"":""http://www.rockit.it/thebadswan/album/rocknroll-party/15965""}]"
3	" MariaPia & SuperZoo"	"http://www.rockit.it/mariapiaesuperzoo"	"Band, Puglia"	"0"	"Rock, Elettronico, Hard Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
4	"!Born As Ghosts"	"http://www.rockit.it/BornAsGhosts"	"Band, Bergamo, Lombardia"	"1"	"Rap, Metal  (NON PIU' ATTIVO)"	"url(/thumb700x250/foto/75997.jpg)"	"[]"	"\n<div class=""content-rece""><p>Band Rap Metal Bergamasca</p> <p>Nati a Bergamo alla fine del 2009 i Born As Ghosts hanno partecipato a diversi contest nella realt&#xE0; bergamasca e hanno suonato live in diverse occasioni.<br>\nCome genere si posizionano sul Rap Metal, un genere molto simile a quello dei Rage Against the Machine, dei quali eseguono alcune cover durante i live.<br>\nAl momento sono state composte 8 canzoni inedite, di cui solo 1 &#xE8; stata eseguita una registrazione in studio.<br>\nOra conosciuti come &quot;Rap.Pvblica&quot;</p></div>\n"	"[]"
5	"""Senza Pioggia"""	"http://www.rockit.it/norain"	"Band, Mentana (RM), Lazio"	"2"	"Rock, Pop, Pop rock "	"url(/thumb700x250/foto/76074.jpg)"	"[""/user/NORAIN""]"	"\n<div class=""content-rece""><p>Storie di uomini sospesi in un tempo dove i valori non esistono, persone che cercano di &#x201C;ritrovarsi&#x201D;, il  bisogno di fuggire per tornare a respirare,</p> <p>NO RAIN, &#xE8; il progetto musicale, oltre che il nome d&#x2019;arte ,di  FABIO FUZIO, cantante, compositore e autore romano. Dal 2011 l&#x2019;artista, solista, si promuove nell&#x2019;ambiente underground suonando in numerosi locali laziali e riscuotendo  molti apprezzamenti  dal pubblico. <br>\nUn prima versione del brano &#x201C;ARIA&#x201D;, nel giugno 2012 &#xE8; stato inserito nella Compilation a cura della Top Records /Edel: OPERA PRIMA, distribuita  in download  nelle pi&#xF9; importanti piattaforme digitali (I-TUNES, AMAZON, ETC) e, in CD, nella catena MONDADORI, ottenendo interessanti risultati di vendita  <br>\nIl 19 Gennaio 2013, al &#x201C;Circolo degli Illuminati&#x201D; di Roma, di fronte ad un folto pubblico di fan, NO RAIN ha presentato dal vivo il suo primo EP dal titolo &#x201C;SENZA PIOGGIA&#x201D;. <br>\nDurante le esibizioni dal vivo, il repertorio di brani originali viene integrato da cover, alcune riarrangiate, degli artisti che in qualche modo hanno ispirato lo stile compositivo di No Rain. Cos&#xEC; troviamo, Ivan Graziani, piuttosto che gli Elettrojoyce o Timoria e addirittura Quintorigo.<br>\nI brani dell&#x2019;Ep sono riprodotti con l&#x2019;ausilio di tracce audio pilotate da un pc che supporta il lavoro fisico ed energico della band che ha la line-up della classica rock band. <br>\nNO RAIN:   Voce e Chitarra acustica                                         <br>\n&amp; Band:<br>\nFederico Pontani:  Chitarra elettrica &amp; cori;  Stefano Scoarughi: Basso elettrico; Gigi Zito:  Batteria &amp; cori</p></div>\n"	"[]"
6	"#Frese From Hell"	"http://www.rockit.it/frese-hell"	"Band, Verona, Veneto"	"0"	"Metal "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/Fromhell""]"	"\n<div class=""content-rece""><p>Dopo aver lavorato per anni su frese per legno Mirko, Gian e Rocco ritornano..from hell!</p> <p>Mirko Gian e Rocca si erano gi&#xE0; incrociati al liceo ma non era scattata la scintilla. Usciti zoppicando dalle superiori ognuno prende la sua strada suonando chi metal, chi punk e chi dando lezioni di batteria. Per puro caso il trio si rincontrano per lavoro anni dopo, nientemeno che in una fabbrica di frese per legno! Scambiandosi cd e ascolti decidono di incominciare a suonare assieme il thrash metal classico anni &apos;80 (Anthrax, Megadeth, Testament) con un nome indicativo della loro condizione... FRESE FROM HELL!</p></div>\n"	"[]"
7	"#i biglietti da visita"	"http://www.rockit.it/i-biglietti-da-visita"	"Band, Verona, Veneto"	"0"	"Lo-Fi, Shoegaze "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/bigliettidaprinter""]"	"\n<div class=""content-rece""><p>I Biglietti da Visita sono un trio attivo dal 2010. John, il fondatore, dopo aver speso molti anni lavorando in una tipografia online, decide di dedicarsi in un&apos;altra arte, la musica chiamando Filippo e Teo alla batteria e alle tastiere. Nei primi tempi coverizzano dei pezzi del loro gruppo preferito, My Bloody Valentine, per poi scrivere un repertorio originale.</p></div>\n"	"[]"
8	"#lucalastilla"	"http://www.rockit.it/LucaLastilla2016"	"Band, Toscana"	"0"	"Rock, Pop rock, Cantautore "	"url(/thumb700x250/foto/113432.jpg)"	"[""/user/LUCA.LASTILLA""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""L'equazione di Dirac"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/LucaLastilla2016/album/lequazione-di-dirac/28835""}]"
9	"$pace vampires"	"http://www.rockit.it/space45k"	"Band, Roma, Lazio"	"0"	"Sperimentale, Industrial, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/space45k""]"	"\n<div class=""content-rece""></div>\n"	"[]"
10	"▽◬▽◎ - Tessier Ashpool S.A."	"http://www.rockit.it/mirkofresa"	"Band, ABBADIA SAN SALVATORE (SI), Toscana"	"1"	"Glitch, Hardcore, Elettronico "	"url(/thumb700x250/foto/35812.jpg)"	"[""/user/mirkofresa""]"	"\n<div class=""content-rece""><p>Mi chiamo Roberto Nocci, mi piace suonare e creare atrezzi &quot;da palco&quot; per l&apos;elettronica e l&apos;improvvisazione. Ho iniziato con il basso nei primi anni ottanta, suonando generi estremamente conservativi come il rock il blues e il jazz classico, alcuni anni dopo, quando ho capito che le mie capacit&#xE0; esecutive erano mediocri, ho deciso di imparare qualcosa sull&apos;armoizzazione jazz, la composizione classica e l&apos;improvvisazione radicale. Contemporaneamente ho maturato numerose esperienze come progammatore e grafico fin dall&apos;arrivo dei primi personal computer. Negli ultimi quindici anni ho cercato di ascoltare e successivamente riprodurre quasi tutta la musica moderna, utilizzando ogni tipo di strumento a mia disposizione: una vana ricerca culminata in una sterile emulazione di un determinato stile; cos&#xEC; ho deciso di convertire alcune tecniche e stili improvvisativi in algoritmi che &quot;suonano&quot; sintetizzatori e/o campionatori che modifico al momento, creando delle composizioni uniche in tempo reale. Non sono un musicista, preferisco definirmi &quot;musicante&quot; (nella cultura italiana un suonatore con scarsa conoscienza della musica), attualmente i miei strumenti sono un basso elettrico ed un computer portatile, e molte applicazioni open source/freeware comandate dal mio software (presto disponibile come progetto opensource).</p></div>\n"	"[{""name"":""Il Male "",""date"":"" 2010 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/13490.jpg"",""link"":""http://www.rockit.it/mirkofresa/album/il-male/13490""}]"
