"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"
3112	"Criminal Party"	"http://www.rockit.it/criminalparty"	"Band, Palermo, Sicilia"	"1"	"Psichedelico, Garage, Punk rock "	"url(/thumb700x250/foto/83604.jpg)"	"[""/articolo/festival-canzoni-dautore-r-gaetano-crotone"",""/recensione/636/criminal-party-criminal-party"",""/user/pinkhouse""]"	"\n<div class=""content-rece""><p>Band storica del rock palermitano dedita a sonorit&#xE0; garage e psicadeliche.</p> <p>Fondati nel 1986 da Fabio Vinciguerra, chitarrista ed autore, sono stati uno dei primi gruppi a livello nazionale che hanno proposto il garage-punk con liriche in italiano e voce femminile. Dopo aver partecipato al Palermo fest e a Sonica, entrambi nel 1997, hanno pubblicato un CD omonimo nel 1999. Da poco uscito il nuovo miniCD digitale &quot;Votate me&quot;.</p></div>\n"	"[{""name"":""Votate me"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/24314.jpg"",""link"":""http://www.rockit.it/criminalparty/album/votate-me/24314""},{""name"":"" Criminal Party"",""date"":"" 1999 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/636.jpg"",""link"":""http://www.rockit.it/criminalparty/album/criminal-party/636""}]"
3113	"Criminal Polka"	"http://www.rockit.it/criminalpolka"	"Band, Brescia, Lombardia"	"0"	"Sperimentale, Rock, Psichedelico "	"url(/thumb700x250/foto/123130.jpg)"	"[""/user/Maurizio29""]"	"\n<div class=""content-rece""><p>Criminal Polka &#xE8; sperimentazione nella sua spontanea manifestazione.</p> <p>Chiare influenze alternative rock sono arricchite da sfumature progressive, cenni di psichedelia e post rock.<br>\nBrani fortemente strumentali sono accompagnati da testi essenziali ed evocativi in italiano, in ragione di una maggiore capacit&#xE0; espressiva.<br>\n<br>\nI Criminal Polka nascono a Brescia da un&#x2019;idea di Niccol&#xF2; Zucchelli, Maurizio Biasioli, Fabio Becilli, Samuele Zucchelli e Andrea Cotelli.<br>\n<br>\nNell&apos;ottobre 2015 esce il primo EP totalmente autoprodotto, &#x201C;Racconto di un ronin&#x201D;, una mesta narrazione sullo scorrere del tempo.</p></div>\n"	"[{""name"":""Racconto di un ronin"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/33979.jpg"",""link"":""http://www.rockit.it/criminalpolka/album/racconto-di-un-ronin/33979""}]"
3114	"Criminal's Party"	"http://www.rockit.it/CriminalsParty"	"Band, Pordenone, Friuli Venezia Giulia"	"0"	"Stoner, Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/22737/criminals-party-la-velocita-del-buio""]"	"\n<div class=""content-rece""><p>La musica, altro linguaggio caro ai pigri e alle anime profonde che cercano lo svago nella diversit&#xE0; dell&apos;occupazione,<br>\nvi parla di voi, vi racconta il poema della vostra vita. <br>\nI Criminal&apos;s Party nascono nel giugno del 2011 a Pordenone dall&apos;incontro di cinque amici Alessandro Zanghi, Ivan Bet, Fracas Simone, Giuseppe Bianchini, Andrea Gallo provenienti da diversi generi musicali, Andrea e Simone titolari di STUFF STUDIO di registrazione alla voce e chitarra vicini al pop e al rock classico,  Ivan e Giuseppe dalla formazione funky  ACQUARAMA chitarra e batteria, Alessandro dalla scena metal pordenonese al basso.<br>\nAll&apos;attivo un disco auto prodotto  &#x201C;LA VELOCITA&apos; DEL BUIO&#x201D; in attesa di essere pubblicato con GARTIN RECORDS<br>\nla band si ispira alle sonorit&#xE0; di gruppi come Queens Of The Stone Age ,Foo Fighters<br>\nle canzoni che formano il disco sono cantate in italiano e inglese,  dopo vari concerti nei locali e feste pi&#xF9; disparate sono al lavoro per il nuovo disco.<br>\nLa forza della band &#xE8; nel live dove energia e suono si mescolano a formare un&apos; onda travolgente che ricorda le band rock del passato ma con un suono attuale.</p></div>\n"	"[{""name"":""La velocità del buio"",""date"":"" 2011 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22737.jpg"",""link"":""http://www.rockit.it/CriminalsParty/album/la-velocita-del-buio/22737""}]"
3115	"Crimms"	"http://www.rockit.it/crimms"	"Band, Lombardia"	"0"	"Rock'n'roll, Rock, Hard Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""><p>I CRIMMS sono Alessandro,Stefano,Mario,Pietro,Flavio.Da maggio 2005 si sono aggiunte Giulia e Ramona.Ognuno di loro ha gusti musicali diversi che variano dal lirico al metal, dal blues al rock, dalla disco al latino americano ma tutti insieme hanno trovato una giusta sonorit&#xE0; e un proprio genere. Il pi&#xF9; amato &#xE8; il rock ma possiamo trovare anche tracce di metal, musica leggera e rock&apos;n roll. Questa scelta &#xE8; stata dovuta alle varie occasioni in cui il gruppo si deve esibire.Un&apos;impronta pi&#xF9; decisiva &#xE8; stata data dal fatto dell&apos;uscita del loro primo cd AISBERG, contenente sia pezzi propri e cover.</p></div>\n"	"[{""name"":""Aisberg"",""date"":"" 2003 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/crimms/album/aisberg/4690""}]"
3116	"Crimson Sky"	"http://www.rockit.it/crimsonsky"	"Band, Piemonte"	"0"	"Rock, Psichedelico, Progressive "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
3117	"Crio e Lou Keshi"	"http://www.rockit.it/crioeloukeshi"	"Band, Sesto Calende (VA), Lombardia"	"0"	"Jazz, Hip-Hop, Blues "	"url(/thumb700x250/foto/112725.jpg)"	"[""/user/crioeloukeshi""]"	"\n<div class=""content-rece""><p>Crio e Lou Keshi sono due artisti indipendenti che hanno deciso di condividere parte dei propri progetti, con l&apos;intento di sperimentare sonorit&#xE0; &quot;nuove&quot; capaci di oltrepassare i confini del moderno concetto di HipHop nella realt&#xE0; italiana.</p></div>\n"	"[{""name"":""Kintsugi"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/30370.jpg"",""link"":""http://www.rockit.it/crioeloukeshi/album/kintsugi/30370""}]"
3118	"Criogenia"	"http://www.rockit.it/criogenia"	"Band, Emilia Romagna"	"0"	"Soul, Rock, Pop "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
3119	"Cripple Bastards"	"http://www.rockit.it/cripplebastards"	"Band, Piemonte"	"84"	"Punk, Hardcore "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""http://www.rockit.it/gallery/zu-le-cinque-band-italiane-piu-potenti-dal-vivo-secondo-zu-cripple-bastard/31164-105424"",""/news/maledetta-primavera-alcuni-nomi"",""/articolo/mi-odi-tutti-concerti-mi-odi""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Misantropo a senso unico"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21525.jpg"",""link"":""http://www.rockit.it/cripplebastards/album/misantropo-a-senso-unico/21525""},{""name"":""Night Of Speed Demons"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/5265.jpg"",""link"":""http://www.rockit.it/compilation/night-of-speed-demons/5265""}]"
3120	"Crisalide"	"http://www.rockit.it/crisalide"	"Band, Toscana"	"0"	"Psichedelico, Metal, Grunge "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"
3121	"Crisi Esistenziale"	"http://www.rockit.it/crisiesistenziale"	"Band, Bergamo, Lombardia"	"0"	"Psichedelico, Grunge, Alternativo "	"url(/thumb700x250/foto/45266.jpg)"	"[""/user/crisiesistenziale""]"	"\n<div class=""content-rece""><p>Ritmi scanditi, quasi tribali, personaggi improbabili, testi ricercati, retorici ed in chiave doppiosensistica: Crisi Esistenziale &#xE8; tutto ci&#xF2; che non avresti mai voluto dire o sentire (per decenza). Alternative/Pyschedelic Grunge che nasce dalle menti malate di Marco de Lucia (chitarra, tastiere, voce), Giovanni Pasinetti (basso, effetti) e Luca Giazzi (batteria, synth, loops).</p></div>\n"	"[]"
3122	"Crisma"	"http://www.rockit.it/crisma"	"Band, Lombardia"	"0"	"Rock, Psichedelico, Alternativo "	"url(/thumb700x250/foto/3896.jpg)"	"[""/user/coclea""]"	"\n<div class=""content-rece""><p>I Crisma nascono nel&apos; 1999 grazie all&apos;incontro di 4 menti musicalmente malate: fil, fra, matte, omar Ispirati dalla musica dei primi anni 90 fino alle piu&apos; moderne e antiche diramazioni del rock, dalla psichedelia alla insana pazzia interiore.Dopo due anni di buon lavoro, concerti e distruzioni il gruppo pero&apos; decide di prendersi una lunga pausa. Nell&apos;estate del 2004, inspiegabilmente i Crisma ritornano alla luce, stesse 4 menti ma piu&apos; evolute piu&apos; sapienti con nuove cariche esplosivemotive..........</p></div>\n"	"[{""name"":""DEMO 05"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/crisma/album/demo-05/3896""}]"
3123	"Crista"	"http://www.rockit.it/crista"	"Band, Cattolica (RN), Emilia Romagna"	"1"	"Rock, Indie "	"url(/thumb700x250/foto/111396.jpg)"	"[""/recensione/28025/crista-crista-ep"",""/user/Crista""]"	"\n<div class=""content-rece""><p>Cantante-autrice rock.</p> <p>Da piccola le mie migliori amiche erano le galline di mia nonna, credo che tutto il mio pensiero sia stato fortemente influenzato da quella frequentazione.<br>\nDal pollaio al palco: la mia prima esibizione risale al 2001, all&apos;eta&#x300; di 15 anni come chitarrista.<br>\nL&apos;anno seguente trovai il mio primo ingaggio come cantante in una rock band della mia citta&#x300; dando inizio cosi&#x300; alla &quot;scalata al successo&quot;.<br>\nNel 2013 dopo anni di concerti con diverse band, inizio a comporre brani miei e grazie al fortunato incontro con Antonio Ramberti, Alfredo Nuti Dal Portone, Franco &quot;beat&quot; Naddei, incido nella primavera del 2014 il mio EP firmato &quot;CRISTA&quot; in uscita nel dicembre 2014.<br>\nL&apos;EP e&#x300; composto da 4 brani arrangiati e suonati dal mio trio con il quale iniziera&#x300; il &quot;CRISTA Tour&quot; il 05/01/2015.<br>\nIl video del singolo &quot; IO NON GODO PIU&#x300; &quot; uscito nell&apos;ottobre del 2014 ha ricevuto ottimi consensi da parte degli addetti ai lavori e dai miei sostenitori.<br>\nE alla domanda &quot; perche&#x301; CRISTA? &quot; la mia risposta e&#x300;:<br>\n&quot; chiedetelo ai miei sogni...o alle mie galline! &quot;.</p></div>\n"	"[{""name"":""CRISTA ep"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/28025.jpg"",""link"":""http://www.rockit.it/crista/album/crista-ep/28025""}]"
3124	"Cristalloblasto"	"http://www.rockit.it/cristalloblasto"	"Band, Calabria"	"0"	"Rock "	"url(/thumb700x250/foto/2086.jpg)"	"[""/recensione/1931/cristalloblasto-promocd""]"	"\n<div class=""content-rece""><p>I Cristalloblasto nascono inizialmente come &quot;Zephiro&quot;,nell&apos;aprile 2001 e con tale nome partecipano ad alcuni concorsi nazionali tra cui &quot;Alatri dal vivo&quot;,&quot;Altomonte rock festival&quot; e &quot;Bande Rumorose&quot;,nell&apos;ambito del quale si classificano fra i sei finalisti su pi&#xF9; di 100 partecipanti.Nel loro sound ritmiche dure,chitarre sature e linee melodiche si alternano in un gioco sonoro strettamente legato alle tematiche dei testi. Nel marzo 2002 contestualmente all&apos;uscita del promo contentente i due brani &quot;Fiabe a un mostro&quot; e &quot;Anima di serpente&quot; , gli &quot;Zephiro&quot; diventano &quot;Cristalloblasto&quot;,simbolico mu&#x2026;</p></div>\n"	"[{""name"":""PromoCD"",""date"":"" 2002 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/cristalloblasto/album/promocd/1931""}]"
