"id"	"name"	"url"	"info"	"likes"	"genre"	"img"	"administrators"	"bio"	"albums"	"articles"
7073	"Insettimalvagi"	"http://www.rockit.it/insettimalvagi"	"Band, Marche"	"0"	"Rock, Elettronico, Alternativo "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
7074	"Insetto"	"http://www.rockit.it/insetto"	"Band"	"0"	"Rap, Metal, Crossover "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/244/insetto-demotape""]"	"\n<div class=""content-rece""><p>ISETTO, crossover post noise band che si &#xE8; fatta le ossa suonando nei locali del centro Italia. Dopo molto vagare nelle terre di nessuno l&apos;INSETTO &#xE8; pronto a farsi conoscere ad ampio pubblico ed &#xE8; per questo che sta cercando un management o un&apos; etichetta che gli dia lapossibilit&#xE0; di emergere.</p></div>\n"	"[{""name"":""Demotape"",""date"":"" 1999 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/insetto/album/demotape/244""}]"	"[{""title"":""Recensione - Demotape"",""url"":""http://www.rockit.it/recensione/244/insetto-demotape"",""date"":""08/04/1999""}]"
7075	"Inshallah"	"http://www.rockit.it/inshallah"	"Band, Sicilia"	"0"	"Ska, Reggae, Punk "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
7076	"Inside"	"http://www.rockit.it/inside"	"Band, Emilia Romagna"	"0"	"Noise, Grunge "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
7077	"inside jung"	"http://www.rockit.it/insidejung"	"Band, Massa Carrara, Toscana"	"0"	"Stoner, Hardcore, Grunge "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/insidejung""]"	"\n<div class=""content-rece""><p>Lorenzo Ciuffi : batteria Gabriele Mallegni : chitarra Matteo Mazzanti : basso</p> </div>\n"	"[]"	"[]"
7078	"Inside Process"	"http://www.rockit.it/insideprocess"	"Band, Lazio"	"0"	"Hardcore "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/news/prossimi-concerti-traffic-roma"",""/recensione/6599/inside-process-demo""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""Shade The Sun"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/insideprocess/album/shade-the-sun/9516""},{""name"":""Demo"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/6599.jpg"",""link"":""http://www.rockit.it/insideprocess/album/demo/6599""}]"	"[{""title"":""News - I prossimi concerti del Traffic  di Roma"",""url"":""http://www.rockit.it/news/prossimi-concerti-traffic-roma"",""date"":""15/03/2007""},{""title"":""Recensione - Demo"",""url"":""http://www.rockit.it/recensione/6599/inside-process-demo"",""date"":""18/01/2007""}]"
7079	"Insider"	"http://www.rockit.it/insider"	"Band, Marche"	"0"	"Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[]"	"\n<div class=""content-rece""></div>\n"	"[]"	"[]"
7080	"insil3nzio"	"http://www.rockit.it/insil3nzio"	"Band, Fermo, Marche"	"0"	"Nu-Metal, Electro "	"url(/thumb700x250/foto/102228.jpg)"	"[""/user/insil3nzio""]"	"\n<div class=""content-rece""><p>6 complici / 1 sala prove / 1 progetto tra numetal ed elettronica</p> <p>Siamo 6 complici, distribuiti non equamente tra Fermo, Porto Sant&apos;Elpidio (FM), Petriolo (MC) e Tivoli (RM).<br>\n<br>\nMediamente siamo intorno ai 38 anni, ma in sala prove o sopra un palco l&apos;anagrafe non ha rilevanza: contano le idee e la capacit&#xE0; di renderle vive.<br>\n<br>\nNel corso degli ultimi tre anni, da quando ci siamo (r)incontrati, abbiamo cercato di dare forma a qualcosa di particolare (che abbiamo impulsivamente definito &#x201C;electrocore&#x201D;), capace di amalgamare stili, approcci ed esperienze musicali radicalmente diverse tra loro. Qualche riferimento? Tanti, sia sul versante straniero che su quello italiano. La parte sonora si muove tra nu-metal, crossover, industrial e alternative rock, con un giusto dosaggio elettronico. Quella cantata viaggia in equilibro tra rap e cantautorato, dove la riflessione impatta con passaggi piuttosto dinamici. Il tutto per&#xF2;, lo sottolineiamo, limitando al massimo le possibili influenze. Perch&#xE8; il nostro &#xE8; soltanto un caotico quanto rumoroso progetto da cui ognuno pu&#xF2; estrapolare l&apos;aspetto pi&#xF9; accattivante e stimolante, senza gabbie.<br>\n<br>\nNei testi abbiamo assemblato esperienze personali e non, raccontando le infinite maschere di questo Paese, la curiosit&#xE0; di un figlio che cresce, l&apos;attitudine consumistica, il rapporto tra uomo e tecnologia, le forme di potere che resistono sempre e comunque. Insomma, ci guardiamo intorno. Ma soprattutto dentro.<br>\n<br>\nObiettivi? Divertirci. E creare. Perch&#xE9; sappiamo fare solo questo.<br>\n<br>\nL&apos;unico messaggio che ci permettiamo di mandare, sia attraverso le canzoni che nei live, &#xE8; che occorre &#x201C;agitarsi bene prima dell&apos;uso&#x201D;, indignarsi, muoversi, gettarsi. E soprattutto alzarsi.<br>\n<br>\nNella primavera 2015 uscir&#xE0; ufficialmente il singolo &#x201C;Minotauro&#x201D;, che vede la collaborazione di Ale Bavo e Filo Q, insieme il videoclip diretto dal regista Marco Cruciani e con protagonista l&apos;attore Giorgio Montanini (&#x201C;Nemico Pubblico Live&#x201D; su Rai Tre e &#x201C;Comedy Central&#x201D; su Sky).</p></div>\n"	"[]"	"[]"
7081	"Insipienti"	"http://www.rockit.it/insipienti"	"Band, sorrento (NA), Campania"	"0"	"Stoner, Rock, Punk rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/user/Insipienti""]"	"\n<div class=""content-rece""><p>punk/stoner band nata in provincia di napoli</p> <p>Gli insipienti, sono una band alternative Rock della penisola sorrentina.<br>\nL&apos;idea di mettere su una band dai suoni duri e dai testi che con grande ironia mettono in evidenza le crude realt&#xE0; della societ&#xE0;,<br>\n&#xE8; nata nell&apos; estate del 2009 da: Enzo &quot;bestia nera&quot;, Michele &quot;revolution&quot; e Marcello &quot;il mercenario&quot;, rispettivamente: <br>\nChitarra, Batteria e Basso.<br>\nsuccessivamente si aggiungono Dante &quot;smilo&quot; malocchi e Gianni &quot;il nano bastardo&quot; alle voci<br>\n<br>\nnel 2012 esce il primo EP Autoprodotto &quot;L&apos;invenzione del Cavallo&quot; formato da 5 tracce e 4 skip</p></div>\n"	"[{""name"":""L'invenzione Del Cavallo"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/20114.jpg"",""link"":""http://www.rockit.it/insipienti/album/linvenzione-del-cavallo/20114""}]"	"[]"
7082	"Insiria"	"http://www.rockit.it/insiria"	"Band, Campania"	"0"	"Rock "	"url(/thumb700x250/nopic/noarticolo.jpg)"	"[""/recensione/6379/insiria-st"",""/user/insiria""]"	"\n<div class=""content-rece""></div>\n"	"[{""name"":""s/t"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/6379.jpg"",""link"":""http://www.rockit.it/insiria/album/st/6379""}]"	"[{""title"":""Recensione - s/t"",""url"":""http://www.rockit.it/recensione/6379/insiria-st"",""date"":""22/11/2006""}]"
