"num","name","url","info","likes","genre","img","administrators","bio","albums"
"","Dog A Dog","http://www.rockit.it/dogadog","Band, Sicilia","2","Lo-Fi, Indie, Post-Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","dog bisQuits","http://www.rockit.it/dogbisquits","Band, Abruzzo","0","Crossover ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","Dog Star Man","http://www.rockit.it/dogstarman","Band, Bologna, Emilia Romagna","1","Rock, Elettronico, Ritmi ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/16362/dog-star-man-untitled"",""/user/dogstarman""]","\n<div class=""content-rece""></div>\n","[{""name"":""Disco After Disco"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19461.jpg"",""link"":""http://www.rockit.it/dogstarman/album/disco-after-disco/19461""},{""name"":""Untitled"",""date"":"" 2010 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/16362.jpg"",""link"":""http://www.rockit.it/dogstarman/album/untitled/16362""}]"
"","Dog Tale","http://www.rockit.it/dogtale","Band, Piemonte","0","Rock, Pop, Grunge ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","Dog.ma [Piemonte]","http://www.rockit.it/dogmapiemonte","Band, Piemonte","0","Rock, Funk ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/2246/dogma-piemonte-padrone-del-tuo-tempo-single""]","\n<div class=""content-rece""></div>\n","[{""name"":""Padrone del tuo tempo… (single)"",""date"":"" 2002 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dogmapiemonte/album/padrone-del-tuo-tempo-single/2246""}]"
"","Doggie Position","http://www.rockit.it/doggieposition","Band, Veneto","0","Rock'n'roll ","url(/thumb700x250/foto/2755.jpg)","[""/news/ix-serata-selezioni-mvc"",""/user/icio""]","\n<div class=""content-rece""><p>la band nasce nel 2001 e gi&#xE0; alle prime pennate si capisce qual&apos;&#xE8; la direzione presa dai tre: un viaggio nel mondo del rock&apos;n&apos;roll con sonorit&#xE0; travolgenti, tempi rockabilly e parti melodiche in stile bugy-blues (ma non solo...!), il tutto accompagnato dalle tre voci. Alla fine dello stesso anno esce il promo cd d&apos;esordio mentre l&apos;attivit&#xE0; live vede la band esibirsi, tra gli altri, al fianco di Modena City Ramblers e One Dimensional Man. prevista per l&apos;estate &apos;03 l&apos;uscita del primo full-lenght.</p></div>\n","[]"
"","Doggo","http://www.rockit.it/doggo","Band, Sardegna","0","Metal ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","Doghouse","http://www.rockit.it/doghouse","Band, Bari, Puglia","1","Rock ","url(/thumb700x250/foto/27660.jpg)","[""/user/doghouse""]","\n<div class=""content-rece""><p>Il progetto Doghouse nasce nel 1997. Gli esordi sono caratterizzati da un sound legato al blues e alle sue differenti manifestazioni, dal blues di Chicago al blues di matrice britannica. Il repertorio &#xE8; formato da composizioni originali in lingua inglese, ma in questo primo anno di attivit&#xE0; risentono ancora dell&apos;influenza dei maestri del genere. Gi&#xE0; nel 1998 si registra un evoluzione verso un sound pi&#xF9; personale, sintetizzato in un repertorio esibito in diversi concerti a Bari e in provincia. Tra il 1999 e il 2000, il gruppo prova un&apos;esperienza acustica che riscuote un buon successo in piccoli pub. Nuovi pezzi arricchiscono il repertorio e lo stile del gruppo matura ulteriormente. Quindi la band si divider&#xE0; in questi due anni tra concerti in acustico ed esibizioni elettriche collezionando un buon numero di consensi. In questi anni continua l&apos;attivit&#xE0; compositiva e concertistica della Doghouse nonostante diversi cambiamenti d&apos;organico. Come naturale completamento del lavoro svolto in studio e dal vivo &#xE8; in preparazione il primo disco della band. La formazione attuale &#xE8; composta da Alfredo Garribba voce, armonica, Theremin, Angelo Pantaleo batteria, percussioni e voci, Salvatore De Paolis basso, Vincenzo Martella chitarra elettrica e slide.</p></div>\n","[{""name"":""Doghouse"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/11583.jpg"",""link"":""http://www.rockit.it/doghouse/album/doghouse/11583""}]"
"","Dogma [Veneto]","http://www.rockit.it/dogmaveneto","Band, Veneto","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","DOGMATE","http://www.rockit.it/dogmate","Band, Roma, Lazio","2","Stoner, Metal, Grunge ","url(/thumb700x250/foto/81653.jpg)","[""/user/AgogeRecords"",""/user/MadCurtis""]","\n<div class=""content-rece""><p>Lo stile dei DogMate &#xE8; caratterizzato dalla passione per tutto ci&#xF2; che ha groove.</p> <p>I DogMate nascono nel 2012 da un&apos;idea di Stefano Nuccetelli ( Sk ),<br>\nIvan Perres ( Ivn ) e Mad, rispettivamente<br>\nchitarrista, batterista e cantante.<br>\nCon la collaborazione al basso di Roberto Fasciani ( Jeff ) iniziano a registrare, alla fine del 2012, il loro album di debutto &#x201C;Hate&#x201D;, dal quale estraggono, nei primi mesi del 2013, il video/singolo &#x201C;Dark In The Eyes&#x201D;.<br>\nNel Luglio 2013, firmano per l&apos;etichetta indipendente &#x201C;Agoge Records&#x201D;</p></div>\n","[{""name"":""HATE"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/23908.jpg"",""link"":""http://www.rockit.it/dogmate/album/hate/23908""}]"
